"ProvinceNo","ProvinceMOI_ID","ProvinceNameThai","Region_RDPB","Region_en","GID_1","GID_0","NAME_1"
1,10,"กรุงเทพมหานคร","ภาคกลาง","Central","THA.3_1","THA","Bangkok Metropolis"
2,81,"กระบี่","ภาคใต้","South","THA.18_1","THA","Krabi"
3,71,"กาญจนบุรี","ภาคกลาง","Central","THA.16_1","THA","Kanchanaburi"
4,46,"กาฬสินธุ์","ภาคตะวันออกเฉียงเหนือ","Northeast","THA.14_1","THA","Kalasin"
5,62,"กำแพงเพชร","ภาคเหนือ","North","THA.15_1","THA","Kamphaeng Phet"
6,40,"ขอนแก่น","ภาคตะวันออกเฉียงเหนือ","Northeast","THA.17_1","THA","Khon Kaen"
7,22,"จันทบุรี","ภาคกลาง","Central","THA.9_1","THA","Chanthaburi"
8,24,"ฉะเชิงเทรา","ภาคกลาง","Central","THA.6_1","THA","Chachoengsao"
9,20,"ชลบุรี","ภาคกลาง","Central","THA.12_1","THA","Chon Buri"
10,18,"ชัยนาท","ภาคกลาง","Central","THA.7_1","THA","Chai Nat"
11,36,"ชัยภูมิ","ภาคตะวันออกเฉียงเหนือ","Northeast","THA.8_1","THA","Chaiyaphum"
12,86,"ชุมพร","ภาคใต้","South","THA.13_1","THA","Chumphon"
13,57,"เชียงราย","ภาคเหนือ","North","THA.11_1","THA","Chiang Rai"
14,50,"เชียงใหม่","ภาคเหนือ","North","THA.10_1","THA","Chiang Mai"
15,92,"ตรัง","ภาคใต้","South","THA.70_1","THA","Trang"
16,23,"ตราด","ภาคกลาง","Central","THA.71_1","THA","Trat"
17,63,"ตาก","ภาคเหนือ","North","THA.69_1","THA","Tak"
18,26,"นครนายก","ภาคกลาง","Central","THA.26_1","THA","Nakhon Nayok"
19,73,"นครปฐม","ภาคกลาง","Central","THA.27_1","THA","Nakhon Pathom"
20,48,"นครพนม","ภาคตะวันออกเฉียงเหนือ","Northeast","THA.28_1","THA","Nakhon Phanom"
21,30,"นครราชสีมา","ภาคตะวันออกเฉียงเหนือ","Northeast","THA.29_1","THA","Nakhon Ratchasima"
22,80,"นครศรีธรรมราช","ภาคใต้","South","THA.31_1","THA","Nakhon Si Thammarat"
23,60,"นครสวรรค์","ภาคเหนือ","North","THA.30_1","THA","Nakhon Sawan"
24,12,"นนทบุรี","ภาคกลาง","Central","THA.36_1","THA","Nonthaburi"
25,96,"นราธิวาส","ภาคใต้","South","THA.33_1","THA","Narathiwat"
26,55,"น่าน","ภาคเหนือ","North","THA.32_1","THA","Nan"
27,38,"บึงกาฬ","ภาคตะวันออกเฉียงเหนือ","Northeast","THA.4_1","THA","Bueng Kan"
28,31,"บุรีรัมย์","ภาคตะวันออกเฉียงเหนือ","Northeast","THA.5_1","THA","Buri Ram"
29,13,"ปทุมธานี","ภาคกลาง","Central","THA.37_1","THA","Pathum Thani"
30,77,"ประจวบคีรีขันธ์","ภาคกลาง","Central","THA.50_1","THA","Prachuap Khiri Khan"
31,25,"ปราจีนบุรี","ภาคกลาง","Central","THA.49_1","THA","Prachin Buri"
32,94,"ปัตตานี","ภาคใต้","South","THA.38_1","THA","Pattani"
33,14,"พระนครศรีอยุธยา","ภาคกลาง","Central","THA.46_1","THA","Phra Nakhon Si Ayutthaya"
34,56,"พะเยา","ภาคเหนือ","North","THA.41_1","THA","Phayao"
35,82,"พังงา","ภาคใต้","South","THA.39_1","THA","Phangnga"
36,93,"พัทลุง","ภาคใต้","South","THA.40_1","THA","Phatthalung"
37,66,"พิจิตร","ภาคเหนือ","North","THA.44_1","THA","Phichit"
38,65,"พิษณุโลก","ภาคเหนือ","North","THA.45_1","THA","Phitsanulok"
39,76,"เพชรบุรี","ภาคกลาง","Central","THA.43_1","THA","Phetchaburi"
40,67,"เพชรบูรณ์","ภาคเหนือ","North","THA.42_1","THA","Phetchabun"
41,54,"แพร่","ภาคเหนือ","North","THA.47_1","THA","Phrae"
