"","GID_1","GID_0","NAME_1","NL_NAME_1"
"1","THA.1_1","THA","Amnat Charoen","จังหวัดอำนาจเจริญ"
"2","THA.2_1","THA","Ang Thong","จังหวัดอ่างทอง"
"3","THA.3_1","THA","Bangkok Metropolis","จังหวัดเชียงใหม่"
"4","THA.4_1","THA","Bueng Kan","บึงกาฬ"
"5","THA.5_1","THA","Buri Ram","จังหวัดบุรีรัมย์"
"6","THA.6_1","THA","Chachoengsao","จังหวัดฉะเชิงเทรา"
"7","THA.7_1","THA","Chai Nat","จังหวัดชัยนาท"
"8","THA.8_1","THA","Chaiyaphum","จังหวัดชัยนาท"
"9","THA.9_1","THA","Chanthaburi","จันทบุรี"
"10","THA.10_1","THA","Chiang Mai","จังหวัดเชียงใหม่"
"11","THA.11_1","THA","Chiang Rai","จังหวัดเชียงราย"
"12","THA.12_1","THA","Chon Buri","จังหวัดชลบุรี"
"13","THA.13_1","THA","Chumphon","จังหวัดชุมพร"
"14","THA.14_1","THA","Kalasin","จังหวัดกาฬสินธุ์"
"15","THA.15_1","THA","Kamphaeng Phet","จังหวัดกำแพงเพชร"
"16","THA.16_1","THA","Kanchanaburi","อำเภอเมืองกาญจนบุรี"
"17","THA.17_1","THA","Khon Kaen","จังหวัดขอนแก่น"
"18","THA.18_1","THA","Krabi","จังหวัดกระบี่"
"19","THA.19_1","THA","Lampang","จังหวัดลำปาง"
"20","THA.20_1","THA","Lamphun","จังหวัดลำพูน"
"21","THA.21_1","THA","Loei","จังหวัดเลย"
"22","THA.22_1","THA","Lop Buri","ลพบุรี"
"23","THA.23_1","THA","Mae Hong Son","จังหวัดแม่ฮ่องสอน"
"24","THA.24_1","THA","Maha Sarakham","จังหวัดมหาสารคาม"
"25","THA.25_1","THA","Mukdahan","จังหวัดมุกดาหาร"
"26","THA.26_1","THA","Nakhon Nayok","จังหวัดนครนายก"
"27","THA.27_1","THA","Nakhon Pathom","อำเภอเมืองนครปฐม"
"28","THA.28_1","THA","Nakhon Phanom","จังหวัดนครพนม"
"29","THA.29_1","THA","Nakhon Ratchasima","จังหวัดนครราชสีมา"
"30","THA.30_1","THA","Nakhon Sawan","จังหวัดนครสวรรค์"
"31","THA.31_1","THA","Nakhon Si Thammarat","จังหวัดนครศรีธรรมราช"
"32","THA.32_1","THA","Nan","จังหวัดน่าน"
"33","THA.33_1","THA","Narathiwat","จังหวัดนราธิวาส"
"34","THA.34_1","THA","Nong Bua Lam Phu","จังหวัดหนองบัวลำภู"
"35","THA.35_1","THA","Nong Khai","จังหวัดหนองคาย"
"36","THA.36_1","THA","Nonthaburi","จังหวัดนนทบุรี"
"37","THA.37_1","THA","Pathum Thani","จังหวัดปทุมธานี"
"38","THA.38_1","THA","Pattani","จังหวัดปัตตานี"
"39","THA.39_1","THA","Phangnga","จังหวัดพังงา"
"40","THA.40_1","THA","Phatthalung","จังหวัดพัทลุง"
"41","THA.41_1","THA","Phayao","จังหวัดพะเยา"
"42","THA.42_1","THA","Phetchabun","อำเภอเมืองเพชรบูรณ์"
"43","THA.43_1","THA","Phetchaburi","จังหวัดเพชรบุรี"
"44","THA.44_1","THA","Phichit","จังหวัดพิจิตร"
"45","THA.45_1","THA","Phitsanulok","จังหวัดพิษณุโลก"
"46","THA.46_1","THA","Phra Nakhon Si Ayutthaya","จังหวัดพระนครศรีอยุธยา"
"47","THA.47_1","THA","Phrae","จังหวัดแพร่"
"48","THA.48_1","THA","Phuket","จังหวัดภูเก็ต"
"49","THA.49_1","THA","Prachin Buri","จังหวัดปราจีนบุรี"
"50","THA.50_1","THA","Prachuap Khiri Khan","จังหวัดประจวบคีรีขันธ์"
"51","THA.51_1","THA","Ranong","จังหวัดระนอง"
"52","THA.52_1","THA","Ratchaburi","จังหวัดราชบุรี"
"53","THA.53_1","THA","Rayong","จังหวัดระยอง"
"54","THA.54_1","THA","Roi Et","ร้อยเอ็ด"
"55","THA.55_1","THA","Sa Kaeo","จังหวัดสระแก้ว"
"56","THA.56_1","THA","Sakon Nakhon","จังหวัดสกลนคร"
"57","THA.57_1","THA","Samut Prakan","จังหวัดสมุทรปราการ"
"58","THA.58_1","THA","Samut Sakhon","จังหวัดสมุทรสาคร"
"59","THA.59_1","THA","Samut Songkhram","จังหวัดสมุทรสงคราม"
"60","THA.60_1","THA","Saraburi","จังหวัดสระบุรี"
"61","THA.61_1","THA","Satun","จังหวัดสตูล"
"62","THA.62_1","THA","Si Sa Ket","จังหวัดศรีสะเกษ"
"63","THA.63_1","THA","Sing Buri","จังหวัดสิงห์บุรี"
"64","THA.64_1","THA","Songkhla","จังหวัดสงขลา"
"65","THA.65_1","THA","Sukhothai","จังหวัดสุโขทัย"
"66","THA.66_1","THA","Suphan Buri","จังหวัดสุพรรณบุรี"
"67","THA.67_1","THA","Surat Thani","จังหวัดสุราษฎร์ธานี"
"68","THA.68_1","THA","Surin","จังหวัดสุรินทร์"
"69","THA.69_1","THA","Tak","จังหวัดตาก"
"70","THA.70_1","THA","Trang","จังหวัดตรัง"
"71","THA.71_1","THA","Trat","จังหวัดตราด"
"72","THA.72_1","THA","Ubon Ratchathani","จังหวัดอุบลราชธานี"
"73","THA.73_1","THA","Udon Thani","จังหวัดอุดรธานี"
"74","THA.74_1","THA","Uthai Thani","จังหวัดอุทัยธานี"
"75","THA.75_1","THA","Uttaradit","จังหวัดอุตรดิตถ์"
"76","THA.76_1","THA","Yala","จังหวัดยะลา"
"77","THA.77_1","THA","Yasothon","จังหวัดยโสธร"
